_id;LOTERIA;SORTEO;FECHA;NOMBRE_PREMIO;NUMERO;SERIE
1;2;2216;2/01/2014;PREMIO MAYOR DE $2.800 MILLONES;4316;48
2;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;5777;41
3;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;1873;110
4;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;6850;67
5;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;1731;85
6;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;9250;1
7;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;2461;4
8;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;2542;78
9;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;2253;52
10;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;8690;193
11;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;8065;186
12;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;1027;160
13;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;6637;4
14;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;7124;158
15;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;9929;67
16;2;2216;2/01/2014;PREMIO SECO $10 MILLONES;965;80
17;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;1914;166
18;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;3664;73
19;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;9945;13
20;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;2050;80
21;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;7394;192
22;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;471;135
23;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;8596;67
24;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;9819;75
25;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;6362;23
26;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;65;59
27;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;7265;152
28;2;2216;2/01/2014;PREMIO SECO DE $ 5 MILLONES;7141;89
